,Sujets,Group,Effectif,TrainingPhase,Compatibility,Quantiles,MeanRT,PercentCorrect,NofResp,asinPC
1,c2r1,control,1.0,medium,compatible,2,265.6081081081081,0.9932,148,1.4885052543729786
2,c2r1,control,1.0,medium,compatible,3,324.7972972972973,0.9932,148,1.4885052543729786
3,c2r1,control,1.0,medium,compatible,4,378.31081081081084,0.9932,148,1.4885052543729786
4,c2r1,control,1.0,medium,compatible,5,437.02702702702703,1.0,148,1.5707963267948966
5,c2r1,control,1.0,medium,compatible,6,536.4864864864865,0.9932,148,1.4885052543729786
6,c2r1,control,1.0,medium,compatible,7,819.4594594594595,0.9595,148,1.3680635501003011
0,c2r1,control,1.0,medium,incompatible,1,233.9568345323741,0.9209,139,1.2856339977742435
1,c2r1,control,1.0,medium,incompatible,2,310.6474820143885,0.9209,139,1.2856339977742435
2,c2r1,control,1.0,medium,incompatible,3,379.49640287769785,0.9496,139,1.344459582150094
3,c2r1,control,1.0,medium,incompatible,4,439.64028776978415,0.9209,139,1.2856339977742435
4,c2r1,control,1.0,medium,incompatible,5,518.6330935251799,0.9065,139,1.2599988830247364
5,c2r1,control,1.0,medium,incompatible,6,666.5467625899281,0.8345,139,1.1518719287915822
6,c2r1,control,1.0,medium,incompatible,7,1035.4676258992806,0.7266,139,1.0205944762676435
0,c2r1,control,1.0,late,compatible,1,228.88097660223804,1.0,140,1.5707963267948966
1,c2r1,control,1.0,late,compatible,2,295.53407934893187,0.9929,140,1.4863081903387916
2,c2r1,control,1.0,late,compatible,3,363.32655137334694,1.0,140,1.5707963267948966
3,c2r1,control,1.0,late,compatible,4,427.50762970498465,1.0,140,1.5707963267948966
4,c2r1,control,1.0,late,compatible,5,503.39776195320457,0.9858,140,1.451167488041953
5,c2r1,control,1.0,late,compatible,6,636.8565615462869,0.9929,140,1.4863081903387916
6,c2r1,control,1.0,late,compatible,7,1015.2288911495424,0.9003,140,1.2495543445734612
0,c2r1,control,1.0,late,incompatible,1,258.1609195402299,0.9356,124,1.3142851361217616
1,c2r1,control,1.0,late,incompatible,2,335.24137931034477,0.9356,124,1.3142851361217616
2,c2r1,control,1.0,late,incompatible,3,401.55172413793093,0.9759,124,1.4147985364351259
3,c2r1,control,1.0,late,incompatible,4,481.11494252873575,0.9437,124,1.3311879911776254
4,c2r1,control,1.0,late,incompatible,5,573.5172413793103,0.8839,124,1.2231113167900725
5,c2r1,control,1.0,late,incompatible,6,722.1379310344823,0.8667,124,1.1970032310994592
6,c2r1,control,1.0,late,incompatible,7,1088.8965517241384,0.7828,124,1.0859272950147483
0,c5r2,control,1.0,early,compatible,1,242.99298519095868,1.0,183,1.5707963267948966
1,c5r2,control,1.0,early,compatible,2,304.1543257989088,1.0,183,1.5707963267948966
2,c5r2,control,1.0,early,compatible,3,376.5003897116135,1.0,183,1.5707963267948966
3,c5r2,control,1.0,early,compatible,4,443.8815276695245,1.0,183,1.5707963267948966
4,c5r2,control,1.0,early,compatible,5,518.9789555728762,1.0,183,1.5707963267948966
5,c5r2,control,1.0,early,compatible,6,615.5183164458304,1.0,183,1.5707963267948966
6,c5r2,control,1.0,early,compatible,7,864.4660950896335,0.9945,183,1.4968606131277205
0,c5r2,control,1.0,early,incompatible,1,298.03921568627453,0.8758,153,1.2106662697016994
1,c5r2,control,1.0,early,incompatible,2,442.7450980392157,0.8758,153,1.2106662697016994
2,c5r2,control,1.0,early,incompatible,3,533.1372549019608,0.8366,153,1.154663527081354
3,c5r2,control,1.0,early,incompatible,4,614.3790849673203,0.7974,153,1.1038897742570537
4,c5r2,control,1.0,early,incompatible,5,713.4640522875817,0.6863,153,0.9762755276170451
5,c5r2,control,1.0,early,incompatible,6,849.5424836601308,0.634,153,0.921042904795116
6,c5r2,control,1.0,early,incompatible,7,1232.81045751634,0.451,153,0.7363000422430945
0,c5r2,control,1.0,medium,compatible,1,231.87206020696144,1.0,151,1.5707963267948966
1,c5r2,control,1.0,medium,compatible,2,292.0319849482596,1.0,151,1.5707963267948966
2,c5r2,control,1.0,medium,compatible,3,371.0442144873,1.0,151,1.5707963267948966
3,c5r2,control,1.0,medium,compatible,4,442.13546566321736,1.0,151,1.5707963267948966
4,c5r2,control,1.0,medium,compatible,5,526.6792097836314,1.0,151,1.5707963267948966
5,c5r2,control,1.0,medium,compatible,6,649.1533396048915,1.0,151,1.5707963267948966
6,c5r2,control,1.0,medium,compatible,7,953.9604891815618,0.9868,151,1.455780777813449
0,c5r2,control,1.0,medium,incompatible,1,270.4125950054289,0.9544,131,1.3555930245221517
1,c5r2,control,1.0,medium,incompatible,2,374.78827361563515,0.9696,131,1.3955406998466766
2,c5r2,control,1.0,medium,incompatible,3,451.085776330076,0.9848,131,1.4471862737473122
3,c5r2,control,1.0,medium,incompatible,4,532.6058631921826,0.9544,131,1.3555930245221517
4,c5r2,control,1.0,medium,incompatible,5,632.6275787187838,0.9544,131,1.3555930245221517
5,c5r2,control,1.0,medium,incompatible,6,750.5754614549402,0.924,131,1.2914903352245535
6,c5r2,control,1.0,medium,incompatible,7,1079.5982627578717,0.7264,131,1.020332511428378
0,c5r2,control,1.0,late,compatible,1,240.8348134991119,1.0,160,1.5707963267948966
1,c5r2,control,1.0,late,compatible,2,307.24689165186504,1.0,160,1.5707963267948966
2,c5r2,control,1.0,late,compatible,3,375.9058614564831,1.0,160,1.5707963267948966
3,c5r2,control,1.0,late,compatible,4,448.53463587921857,1.0,160,1.5707963267948966
4,c5r2,control,1.0,late,compatible,5,524.5825932504441,1.0,160,1.5707963267948966
5,c5r2,control,1.0,late,compatible,6,633.7122557726461,1.0,160,1.5707963267948966
6,c5r2,control,1.0,late,compatible,7,913.7921847246894,1.0,160,1.5707963267948966
0,c5r2,control,1.0,late,incompatible,1,288.6573146292585,0.986,142,1.4520758697877558
1,c5r2,control,1.0,late,incompatible,2,383.14629258517033,0.979,142,1.4252236764937072
2,c5r2,control,1.0,late,incompatible,3,455.35070140280556,0.9649,142,1.3824115326106314
3,c5r2,control,1.0,late,incompatible,4,527.244488977956,0.9649,142,1.3824115326106314
4,c5r2,control,1.0,late,incompatible,5,611.3126252505009,0.979,142,1.4252236764937072
5,c5r2,control,1.0,late,incompatible,6,723.5771543086171,0.9088,142,1.2640430840135912
6,c5r2,control,1.0,late,incompatible,7,1046.6533066132263,0.7966,142,1.1029043470526396
0,c7r1,control,1.0,early,compatible,1,205.45164718384697,0.9926,134,1.4844445329768818
1,c7r1,control,1.0,early,compatible,2,243.95324123273113,0.9926,134,1.4844445329768818
2,c7r1,control,1.0,early,compatible,3,281.00956429330506,1.0,134,1.5707963267948966
3,c7r1,control,1.0,early,compatible,4,343.645058448459,0.9926,134,1.4844445329768818
4,c7r1,control,1.0,early,compatible,5,395.65356004250805,1.0,134,1.5707963267948966
5,c7r1,control,1.0,early,compatible,6,483.6981934112647,0.9926,134,1.4844445329768818
6,c7r1,control,1.0,early,compatible,7,687.9914984059512,0.9479,134,1.3405753785245875
0,c7r1,control,1.0,early,incompatible,1,223.02816901408448,0.8955,121,1.2416851909536795
1,c7r1,control,1.0,early,incompatible,2,281.2089201877934,0.8826,121,1.2211181013379644
2,c7r1,control,1.0,early,incompatible,3,345.00000000000017,0.8768,121,1.2120992060527007
3,c7r1,control,1.0,early,incompatible,4,416.06807511737077,0.9178,121,1.280084205882565
4,c7r1,control,1.0,early,incompatible,5,500.3051643192489,0.7782,121,1.0803845691266905
5,c7r1,control,1.0,early,incompatible,6,640.6924882629113,0.8439,121,1.1646218563820596
6,c7r1,control,1.0,early,incompatible,7,959.6948356807509,0.7535,121,1.0512731399394815
0,c7r1,control,1.0,medium,compatible,1,212.24917309812568,0.9923,129,1.4828361816846294
1,c7r1,control,1.0,medium,compatible,2,250.17640573318633,1.0,129,1.5707963267948966
2,c7r1,control,1.0,medium,compatible,3,283.1422271223814,1.0,129,1.5707963267948966
3,c7r1,control,1.0,medium,compatible,4,344.70782800441026,1.0,129,1.5707963267948966
4,c7r1,control,1.0,medium,compatible,5,417.960308710033,1.0,129,1.5707963267948966
5,c7r1,control,1.0,medium,compatible,6,520.9040793825799,0.9691,129,1.394175235824596
6,c7r1,control,1.0,medium,compatible,7,734.2778390297683,0.9228,129,1.289286161971693
0,c7r1,control,1.0,medium,incompatible,1,230.42131350681538,0.948,115,1.340636738226478
1,c7r1,control,1.0,medium,incompatible,2,289.2193308550186,0.8959,115,1.2422921622419731
2,c7r1,control,1.0,medium,incompatible,3,349.6282527881039,0.8872,115,1.228338007762761
3,c7r1,control,1.0,medium,incompatible,4,428.95910780669163,0.8439,115,1.1645788312287755
4,c7r1,control,1.0,medium,incompatible,5,529.814126394052,0.8612,115,1.1890514186434293
5,c7r1,control,1.0,medium,incompatible,6,675.9975216852536,0.8352,115,1.152760276789087
6,c7r1,control,1.0,medium,incompatible,7,1022.5030978934328,0.6791,115,0.9685232356881525
0,c7r1,control,1.0,late,compatible,1,198.9859437751004,1.0,142,1.5707963267948966
1,c7r1,control,1.0,late,compatible,2,232.66064257028117,0.993,142,1.4868669873804605
2,c7r1,control,1.0,late,compatible,3,256.2048192771084,0.993,142,1.4868669873804605
3,c7r1,control,1.0,late,compatible,4,285.7128514056225,0.993,142,1.4868669873804605
4,c7r1,control,1.0,late,compatible,5,340.71285140562264,0.993,142,1.4868669873804605
